iso_alpha_3,year,total_emissions_excl_lulucf,total_emissions
SHN,2000,0.014251981581276,0.014251981581276
SHN,2001,0.010405506324661,0.010405506324661
SHN,2002,0.010449884988152,0.010449884988152
SHN,2003,0.010942732837013,0.010942732837013
SHN,2004,0.012298177807229,0.012298177807229
SHN,2005,0.012927099972271,0.012927099972271
SHN,2006,0.011666978262527,0.011666978262527
SHN,2007,0.013087201126673,0.013087201126673
SHN,2008,0.013618407645981,0.013618407645981
SHN,2009,0.013805442834487,0.013805442834487
SHN,2010,0.014681747818421,0.014681747818421
SHN,2011,0.015226732461621,0.015226732461621
SHN,2012,0.015424236383992,0.015424236383992
SHN,2013,0.018262675984492,0.018262675984492
SHN,2014,0.018240819447256,0.018240819447256
SHN,2015,0.018332999131702,0.018332999131702
SHN,2016,0.019044010365001,0.019044010365001
SHN,2017,0.019782952154381,0.019782952154381
SHN,2018,0.020674656604385,0.020674656604385
SHN,2019,0.020416567165395,0.020416567165395
SHN,2020,0.019082516581022,0.019082516581022
SHN,2021,0.019405298607501,0.019405298607501
SHN,2022,0.020735483366621,0.020735483366621
SHN,2023,0.020772016751657,0.020772016751657
SLB,2000,0.40610733833016,2.11302003833016
SLB,2001,0.42887896789841,2.13579166789841
SLB,2002,0.44485150901874,3.55567280901874
SLB,2003,0.45932610591051,2.80626610591051
SLB,2004,0.47394165310861,4.21481515310861
SLB,2005,0.49097902114231,6.35181242114231
SLB,2006,0.49617919754509,5.491980297545091
SLB,2007,0.52438190438203,6.67105590438203
SLB,2008,0.53370265469727,7.82710305469727
SLB,2009,0.53714821363837,6.628037113638371
SLB,2010,0.57261545767475,7.953511657674749
SLB,2011,0.59132542722773,7.68718062722773
SLB,2012,0.59677519970898,9.830936099708978
SLB,2013,0.62527171986286,10.07168561986286
SLB,2014,0.61174806977895,13.14447936977895
SLB,2015,0.57525977264292,14.68414977264292
SLB,2016,0.57000524423881,16.012538244238808
SLB,2017,0.5428076478539,16.765151647853898
SLB,2018,0.58114188122136,16.80348588122136
SLB,2019,0.58409944134297,16.80644344134297
SLB,2020,0.58131786153861,16.80366186153861
SLB,2021,0.61555492801968,16.83789892801968
SLB,2022,0.59213073619308,16.81447473619308
SLB,2023,0.59894686339881,16.821290863398808
SLE,2000,3.3907626628226,3.3907626628226
SLE,2001,3.4526486931854,3.4526486931854
SLE,2002,3.6199915606639,3.6199915606639
SLE,2003,3.8052104926239,3.8052104926239
SLE,2004,3.9931829134032,3.9931829134032
SLE,2005,4.4614198135257,4.4614198135257
SLE,2006,5.0989659157082,5.0989659157082
SLE,2007,4.6213623414487,4.6213623414487
SLE,2008,4.8098850171307,4.8098850171307
SLE,2009,5.1793993677728,5.1793993677728
SLE,2010,5.4571651206837,5.4571651206837
SLE,2011,5.8610229306305,5.8610229306305
SLE,2012,6.1974112442859,6.1974112442859
SLE,2013,6.5029883061517,6.5029883061517
SLE,2014,6.7111861216574,6.7111861216574
SLE,2015,6.2428564273312,6.2428564273312
SLE,2016,6.3194709535635,6.3194709535635
SLE,2017,6.3431757801882,6.3431757801882
SLE,2018,6.5519380572301,6.5519380572301
SLE,2019,6.7020601230934,6.7020601230934
SLE,2020,6.8741785325708,6.8741785325708
SLE,2021,7.8333185092136,7.8333185092136
SLE,2022,7.3354986508881,7.3354986508881
SLE,2023,7.7945386705306,7.7945386705306
SLV,2000,10.269868816653,12.399225816653
SLV,2001,10.842485383824,12.971842383824
SLV,2002,11.00450004304,13.13385704304
SLV,2003,11.465208475861,13.594565475861
SLV,2004,11.875005691281,14.004362691281
SLV,2005,12.14788291231,14.27723991231
SLV,2006,12.638640746978,14.767997746978
SLV,2007,12.890248649688,15.019605649688001
SLV,2008,12.378615393678,14.507972393678001
SLV,2009,12.101255612809,14.230612612809
SLV,2010,11.758208856525,13.887565856525
SLV,2011,11.676309562243,11.332291562243
SLV,2012,11.940837026287,11.596819026287
SLV,2013,11.129054301633,10.785036301633
SLV,2014,11.615022663967,11.271004663967
SLV,2015,12.111366035062,11.767348035062
SLV,2016,12.069587031222,11.725569031222
SLV,2017,11.421446502155,11.077428502155
SLV,2018,11.73976308055,11.39574508055
SLV,2019,12.766893564814,12.422875564814
SLV,2020,11.646113185343,11.302095185343
SLV,2021,12.596883600903,12.252865600903
SLV,2022,13.602655076959,13.258637076959
SLV,2023,14.380131566509,14.036113566509
SOM,2000,28.301174102461,45.651174102461
SOM,2001,28.816698206423,46.166698206423
SOM,2002,29.383876436109,46.733876436109
SOM,2003,29.920926990319,47.270926990319
SOM,2004,30.431750840875,47.781750840875006
SOM,2005,31.173033001225,48.523033001225
SOM,2006,30.303781119296,47.653781119296
SOM,2007,29.070092869685,46.420092869685
SOM,2008,29.528293915634,46.878293915634
SOM,2009,29.896519824373,47.246519824373
SOM,2010,30.251155878766,47.601155878766
SOM,2011,30.64352855567,47.99352855567
SOM,2012,30.924830765919,48.274830765919006
SOM,2013,31.079708916058,48.429708916058004
SOM,2014,31.324035952042,48.674035952042004
SOM,2015,31.447624387755,48.797624387755
SOM,2016,31.811261073554,49.161261073554
SOM,2017,32.038411573858,49.388411573858
SOM,2018,32.579995086912,49.929995086912
SOM,2019,33.108774907311,50.458774907311
SOM,2020,33.508353149305,50.858353149305
SOM,2021,33.384152501169,50.734152501169
SOM,2022,33.644703872395,50.994703872395
SOM,2023,34.244724926772,51.594724926772
SPM,2000,0.023478293626318,0.023478293626318
SPM,2001,0.023200411312801,0.023200411312801
SPM,2002,0.025817383045289,0.025817383045289
SPM,2003,0.029321189238116,0.029321189238116
SPM,2004,0.028029876262278,0.028029876262278
SPM,2005,0.029334922160331,0.029334922160331
SPM,2006,0.031788638338214,0.031788638338214
SPM,2007,0.033975688513755,0.033975688513755
SPM,2008,0.035459720426907,0.035459720426907
SPM,2009,0.038499300638116,0.038499300638116
SPM,2010,0.042468832365636,0.042468832365636
SPM,2011,0.033946349676942,0.033946349676942
SPM,2012,0.034629901451383,0.034629901451383
SPM,2013,0.039625451315733,0.039625451315733
SPM,2014,0.043518832856521,0.043518832856521
SPM,2015,0.044295959751408,0.044295959751408
SPM,2016,0.047448941007629,0.047448941007629
SPM,2017,0.043805471855592,0.043805471855592
SPM,2018,0.03441097876341,0.03441097876341
SPM,2019,0.041346222908078,0.041346222908078
SPM,2020,0.038788626251842,0.038788626251842
SPM,2021,0.035170097623035,0.035170097623035
SPM,2022,0.035068565502105,0.035068565502105
SPM,2023,0.035109438354039,0.035109438354039
STP,2000,0.11580005256751,-0.30301107443249
STP,2001,0.11570240930838,-0.30310871769162
STP,2002,0.12666584283686,-0.29214528416314
STP,2003,0.13767524756271,-0.28113587943729
STP,2004,0.14804317736638,-0.27076794963362
STP,2005,0.1568071056718,-0.2620040213282
STP,2006,0.16353579171783,-0.25527533528217
STP,2007,0.16669921372943,-0.25211191327057003
STP,2008,0.17556703100595,-0.24324409599405
STP,2009,0.18831357793426,-0.23049754906574
STP,2010,0.19842957694514,-0.22038155005486001
STP,2011,0.20363514835704,-0.21517597864296
STP,2012,0.21031611769196,-0.20849500930804002
STP,2013,0.21370351614215,-0.23121940785785
STP,2014,0.21438881079262,-0.25664591120738
STP,2015,0.22514512937426,-0.27200138962574
STP,2016,0.23326010356198,-0.28999821243801993
STP,2017,0.23839717881545,-0.28123847918455
STP,2018,0.24246348244149,-0.2735495175585101
STP,2019,0.2517523630001,-0.26426063699990004
STP,2020,0.24870050058397,-0.2673124994160301
STP,2021,0.251252020066,-0.26476097993400005
STP,2022,0.23650622903037,-0.27950677096963006
STP,2023,0.24211747499797,-0.27389552500203007
SUR,2000,2.528140301106,-1.5973542388939999
SUR,2001,2.5482777754101,-1.5772167645899002
SUR,2002,1.9676536228923,-3.5827710471077
SUR,2003,2.1887854881176,-4.7355365218824
SUR,2004,2.3325464994033,-5.9552756005967
SUR,2005,2.6045166136666,-6.957543496333399
SUR,2006,2.4806092388144,-8.405468331185599
SUR,2007,2.373080245634,-10.039830554366
SUR,2008,2.458798051008,-11.122636478992
SUR,2009,2.5672651617564,-12.4170761582436
SUR,2010,2.8783019374719,-9.9937936825281
SUR,2011,3.1134340794864,-10.3821504405136
SUR,2012,3.5821716102772,-10.7944034697228
SUR,2013,3.4655208870587,-12.3681976229413
SUR,2014,3.8348920046971,-4.415398975302901
SUR,2015,3.9230765214055,-9.9379753485945
SUR,2016,4.1934596896474,-11.6441267803526
SUR,2017,3.657389801732,-14.139531338267998
SUR,2018,3.3175648666635,-14.4793562733365
SUR,2019,3.8786179437235,-13.918303196276499
SUR,2020,3.7911438082902,-14.005777331709798
SUR,2021,3.9148008035639,-13.882120336436099
SUR,2022,3.9563712235632,-13.8405499164368
SUR,2023,3.5866743140538,-14.210246825946198
SVK,2000,50.482046326,41.466988408000006
SVK,2001,51.058344694255,42.751954936255
