iso_alpha_3,year,cap_liberal_democracy_idx,cap_corruption_idx,cap_control_corruption,cap_govt_effectiveness,cap_political_stability,cap_regulatory_quality,cap_voice_accountability,con_ndgain_score,con_ndgain_vulnerability,con_renewables_share_elec_pct,inc_has_carbon_tax,inc_has_framework_law,inc_has_renewable_target,x_log_signed_con_coal,x_log_signed_con_hydro,x_log_signed_con_edgar_ghg_mt,x_log_signed_con_demand,x_log_signed_con_primary_energy_twh,x_log_signed_con_other_fossil,x_log_signed_con_demand_per_capita,x_log_signed_con_energy_per_capita_kwh,x_log_signed_cap_gdp_per_capita_ppp_current,x_log_signed_inc_carbon_pricing_coverage,x_log_signed_con_electricity_access_pct,em_lag_1y
CHL,2013,0.848,0.076,1.49892818927765,1.15803158283234,0.363742530345917,1.48287189006805,1.10628616809845,60.494023820155,0.344079856760782,35.695,0.0,1.0,1.0,1.6937790608678513,1.9473377010464987,4.005088355247418,4.301900590194597,6.027697628654284,1.000631880307906,1.6331544390514163,10.060252212937376,10.007940629675648,0.0,4.611152257665639,4.064578385468583
CHL,2014,0.849,0.076,1.44073414802551,1.03507494926453,0.447516918182373,1.48458957672119,1.05589711666107,61.4094944920064,0.337839215434602,42.839,0.0,1.0,1.0,1.6937790608678513,2.0028304393079956,3.9212133042632074,4.26507138131118,6.017458751284782,1.000631880307906,1.5953389880545987,10.04002046110147,10.02369503257233,0.0,4.61512051684126,4.005088355247418
CHL,2015,0.84,0.085,1.18245732784271,0.918835580348969,0.424871742725372,1.31984269618988,1.00456619262695,60.5612207172751,0.337793204522337,43.199,0.0,0.0,1.0,1.7209792871670078,2.0135687975291283,4.212229661535886,4.3295484280286765,6.028832583576721,1.000631880307906,1.6389967146756448,10.041205363619488,10.019441363356256,0.0,4.612145799724517,3.9212133042632074
CHL,2016,0.84,0.085,1.02276110649109,0.833843767642975,0.402406215667725,1.36390829086304,0.995819568634033,59.4243029323081,0.339256813077204,42.89,0.0,1.0,0.0,1.814824742159051,2.0320878452963655,4.076996602436997,4.379899373657707,6.075123017717304,1.000631880307906,1.6714733033535532,10.075510805024509,10.054383094612973,0.0,4.61512051684126,4.212229661535886
CHL,2017,0.842,0.074,1.00165581703186,0.809455633163452,0.406281590461731,1.32549917697906,1.00058126449585,59.3256928928539,0.339239617375445,43.545,1.0,1.0,1.0,1.814824742159051,2.0347056478384444,4.922544748046926,4.380650688493951,6.112236444995587,1.000631880307906,1.6582280766035324,10.096866871309434,10.098076216701365,0.13185213110480262,4.612145799724517,4.076996602436997
CHL,2018,0.805,0.057,0.958202481269836,0.907178461551666,0.412769764661789,1.30045235157013,1.02594089508057,59.5719855779945,0.333659485202075,45.866,1.0,1.0,1.0,1.814824742159051,2.0320878452963655,4.313863174077879,4.415944852877343,6.151195343372122,1.000631880307906,1.6733512381777533,10.118055760468492,10.138800370894621,0.13185213110480262,4.61512051684126,4.922544748046926
CHL,2019,0.763,0.056,0.97893089056015,0.863498628139496,-0.0161215793341398,1.15849316120148,0.981485605239868,59.6899884044304,0.332626090125988,46.213,1.0,1.0,1.0,1.8229350866965048,2.038619547159581,4.427577971045677,4.442415934686665,6.163270592531012,1.000631880307906,1.6808279085207734,10.114165206410993,10.150845858946301,0.13185213110480262,4.61512051684126,4.313863174077879
CHL,2020,0.765,0.056,1.10613715648651,0.705044686794281,0.0440445058047771,0.948647737503052,0.99194073677063,60.1404265917762,0.333157100552715,48.445,1.0,1.0,1.0,1.7817091333745536,2.0706530356467567,4.274509401510536,4.437697832044343,6.094648195107745,0.9631743177730056,1.6714733033535532,10.036431478886124,10.140607517492947,0.13185213110480262,4.61512051684126,4.427577971045677
CHL,2021,0.777,0.067,0.9562668800354,0.590294063091278,0.161427184939384,0.936240255832672,0.957422435283661,59.813567293437,0.333731088512827,49.432,1.0,1.0,1.0,1.7817091333745536,2.0554049638515943,4.182695028545219,4.478812997111569,6.169311524553309,1.0885619528146082,1.7011051009599243,10.106840638080206,10.278178986528658,0.13185213110480262,4.61512051684126,4.274509401510536
CHL,2022,0.779,0.063,0.968124032020569,0.546218276023865,0.13208432495594,0.978411138057709,0.976769387722015,60.0362214858948,0.332513665146997,55.327,0.0,1.0,1.0,1.6714733033535532,2.1210632163706555,4.291351409088604,4.522223265167165,6.223577750547327,1.0885619528146082,1.7334238922150915,10.156258020276912,10.335962998148398,0.0,4.61512051684126,4.182695028545219
