Code,Income group,Year,emissions_change,avg_change_prev_3_years,avg_change_prev_5_years,prev_year_change
CZE,High income,2003,4.080218731999992,-2.289413437500002,-2.289413437500002,-5.2410170220000225
CZE,High income,2004,1.4500027760000194,-0.16620271433333755,-0.16620271433333755,4.080218731999992
CZE,High income,2005,-2.966221001000008,0.09640149533332949,0.23784865825000168,1.4500027760000194
CZE,High income,2006,2.4675601240000162,0.8546668356666677,-0.4029652736000003,-2.966221001000008
CZE,High income,2007,2.2692905840000037,0.3171139663333425,-0.04189127820000067,2.4675601240000162
CZE,High income,2008,-7.04490576500001,0.5902099023333373,1.4601702430000045,2.2692905840000037
CZE,High income,2009,-6.776086074999995,-0.7693516856666633,-0.7648546563999957,-7.04490576500001
CZE,High income,2010,2.755986620000016,-3.8505670853333336,-2.4100724265999984,-6.776086074999995
CZE,High income,2011,-2.601538737000027,-3.6883350733333296,-1.2656309023999939,2.755986620000016
CZE,High income,2012,-4.334916045999989,-2.2072127306666687,-2.2794506746000023,-2.601538737000027
CZE,High income,2013,-3.929020061000003,-1.3934893876666667,-3.600292000600001,-4.334916045999989
CZE,High income,2014,-2.104211927999998,-3.621824948000006,-2.9771148597999995,-3.929020061000003
CZE,High income,2015,1.5120098159999884,-3.4560493449999967,-2.0427400304,-2.104211927999998
CZE,High income,2016,2.1514870510000037,-1.5070740576666708,-2.291535391200006,1.5120098159999884
CZE,High income,2017,2.867385627999994,0.5197616463333313,-1.3409302335999995,2.1514870510000037
CZE,High income,2018,3.859314602000012,2.176960831666662,0.09953010119999703,2.867385627999994
CZE,High income,2019,1.401084499999996,2.9593957603333365,1.6571970338,3.859314602000012
CZE,High income,2020,-5.004618475000001,2.7092615766666674,2.358256319399999,1.401084499999996
CZE,High income,2021,6.21276274600001,0.08526020900000238,1.054930661200001,-5.004618475000001
CZE,High income,2022,1.354544231999995,0.8697429236666684,1.8671858002000021,6.21276274600001
DEU,High income,2001,2.787114695000014,,,
