iso_alpha_3,year,policy_flow_jur_stock_x_gov
GMB,2003,-11.37478947725775
GMB,2004,-16.190652334100964
GMB,2005,-25.710738683769474
GMB,2006,-27.353118176495876
GMB,2007,-29.124673133766905
GMB,2008,-32.55796345035436
GMB,2009,-36.120920412929124
GMB,2010,-39.48874569448865
GMB,2011,-46.54733048201096
GMB,2012,-50.765775047903404
GMB,2013,-52.6028646298703
GMB,2014,-54.702391338127796
GMB,2015,-62.30385983897501
GMB,2016,-59.922652392524746
GMB,2017,-32.28156827128326
GMB,2018,-12.746495014216377
GMB,2019,-15.922788870463176
GMB,2020,-11.883872936805751
GMB,2021,-8.88071719962147
GMB,2022,-9.996331137449916
GMB,2023,-7.37330530037317
GMB,2024,-8.816538861965023
GNB,1996,-9.626062421823898
GNB,1998,-12.735855775771565
GNB,2000,-12.619246734412604
GNB,2002,-14.252179118511187
GNB,2003,-22.491884792280395
GNB,2004,-17.140596643708115
GNB,2005,-10.972901503435082
GNB,2006,-16.620667777421577
GNB,2007,-21.491667571648595
GNB,2008,-25.290281124027846
GNB,2009,-25.942269921327284
GNB,2010,-29.049672723757684
GNB,2011,-32.33709626498074
GNB,2012,-48.55631435106119
GNB,2013,-50.532862603500064
GNB,2014,-41.01978523277152
GNB,2015,-40.4364369370523
GNB,2016,-43.80561640706268
GNB,2017,-48.07843250410319
GNB,2018,-42.656836875576666
GNB,2019,-34.06325625537079
GNB,2020,-28.037975917704234
GNB,2021,-31.106247231588487
GNB,2022,-37.09445952881565
GNB,2023,-42.44484240703639
GNB,2024,-56.15892213560603
GNQ,2003,-1.690155639724705
GNQ,2004,-3.3785072029660297
GNQ,2005,-4.981923337827414
GNQ,2006,-8.17566204002372
GNQ,2007,-12.181679873002352
GNQ,2008,-15.841129148444972
GNQ,2009,-18.07427189272242
GNQ,2010,-22.039520940283314
GNQ,2011,-25.348692211093045
GNQ,2012,-28.87581862219074
GNQ,2013,-32.77566028829974
GNQ,2014,-35.35113645450707
GNQ,2015,-38.82049928734897
GNQ,2016,-40.9502720724958
GNQ,2017,-44.01537633791113
GNQ,2018,-48.124067582736316
GNQ,2019,-51.19042686944894
GNQ,2020,-56.950167818863726
GNQ,2021,-65.87437299142994
GNQ,2022,-73.46028329973387
GNQ,2023,-79.97776982340294
GNQ,2024,-86.945696279692
GRC,1996,80.121544987025
GRC,1998,121.85555971872726
GRC,2000,178.817084099828
GRC,2002,220.06464334638105
GRC,2003,261.17169294483824
GRC,2004,286.02828383626974
GRC,2005,322.8395261424291
GRC,2006,371.1624489064672
GRC,2007,420.5408902876891
GRC,2008,415.61044626820774
GRC,2009,474.11667675124636
GRC,2010,458.8287607900576
GRC,2011,466.455761220126
GRC,2012,390.97893710381936
GRC,2013,404.26970936091504
GRC,2014,441.4918456991092
GRC,2015,458.0820965994502
GRC,2016,496.33545220359923
GRC,2017,521.5545883360614
GRC,2018,584.0770823758289
GRC,2019,649.3513302217808
GRC,2020,796.6536849103356
GRC,2021,803.6072964529216
GRC,2022,858.0184669532263
GRC,2023,957.88302937967
GRC,2024,968.0855722020887
GRD,2005,0.8942355707134897
GRD,2006,1.7400595537432877
GRD,2007,2.798376000731878
GRD,2008,3.9974902575841256
GRD,2009,4.968256216045221
GRD,2010,5.928263952158012
GRD,2011,7.041411247051836
GRD,2012,7.9404348871618256
GRD,2013,8.948468977970883
GRD,2014,10.088609456958945
GRD,2015,8.783052410098456
GRD,2016,9.538893469199072
GRD,2017,8.254563247899338
GRD,2018,8.007728470296918
GRD,2019,7.901159187928654
GRD,2020,8.351836891316925
GRD,2021,7.360692404926701
GRD,2022,7.717266214759563
GRD,2023,9.870770917754056
GRD,2024,13.162888029925549
GRL,2009,5.97394335630113
GRL,2010,10.440829962417002
GRL,2011,14.950353790241962
GRL,2012,19.39765849938828
GRL,2013,23.80551835341234
GRL,2014,28.729754533068327
GRL,2015,33.60651899844159
GRL,2016,38.42332379478654
GRL,2017,43.236179421266215
GRL,2018,48.057238696192236
GRL,2019,52.877130436157074
GRL,2020,59.17103431877572
GRL,2021,65.21742764599465
GRL,2022,71.41596958613327
GRL,2023,77.59788747795749
GRL,2024,83.81542271809714
GTM,1996,-6.047546896771699
GTM,1998,-9.733124993375485
GTM,2000,-11.037352960564913
GTM,2002,-11.706417406249061
GTM,2003,-13.019123952370894
GTM,2004,-8.10659233958934
GTM,2005,-8.330072294545866
GTM,2006,-0.2157290680963429
GTM,2007,-2.5086861368210656
GTM,2008,-4.500949048097118
GTM,2009,-6.515401809699929
GTM,2010,-13.637868291486775
GTM,2011,-20.5563935363531
GTM,2012,-19.236012000213734
GTM,2013,-26.125908551780824
GTM,2014,-28.834923614409426
GTM,2015,-29.634165572417416
GTM,2016,-29.205301327041486
GTM,2017,-27.694959341314473
GTM,2018,-43.326059546243215
GTM,2019,-53.95729701322775
GTM,2020,-62.49850489272791
GTM,2021,-87.27117174371935
GTM,2022,-105.27167514174211
GTM,2023,-118.00811697835421
GTM,2024,-121.18370647781528
GUF,1996,0.322216137326224
GUF,1998,0.533082730329125
GUF,2000,0.7494242610554062
GUF,2002,0.9998577726110789
GUF,2003,1.117861250269064
GUF,2004,0.9199394714481363
GUF,2005,1.3725267945474298
GUF,2006,1.521696734423163
GUF,2007,1.6279010974575545
GUF,2008,1.7346766662992876
GUF,2009,3.516023272333477
GUF,2010,3.7303913492154477
GUF,2011,3.960082615556057
GUF,2012,4.1710618933113315
GUF,2013,4.376599964688924
GUF,2014,4.611244008522406
GUF,2015,4.835025257831263
GUF,2016,5.049332127835203
GUF,2017,5.263908298093169
GUF,2018,6.516906498101813
GUF,2019,6.773356430604988
GUF,2020,7.027679361538533
GUF,2021,7.243407277084735
GUF,2022,7.486943233951719
GUF,2023,7.729599022900563
GUF,2024,7.978485126525788
GUY,1996,2.365838693384474
GUY,1998,5.324720327858593
GUY,2000,7.27873806732154
GUY,2002,10.030788899077766
GUY,2003,11.246688263801346
GUY,2004,7.034928820114901
GUY,2005,3.0352523598671954
GUY,2006,3.045223965785593
GUY,2007,3.339155448551083
GUY,2008,4.9286193322997
GUY,2009,6.871430702925726
GUY,2010,4.895480695974655
GUY,2011,2.757869211035103
GUY,2012,2.0283276402774417
GUY,2013,5.567660588079245
GUY,2014,4.616061254121408
GUY,2015,-0.8013792749246822
GUY,2016,0.29090972568376905
GUY,2017,3.663114645419196
GUY,2018,15.322127339398524
GUY,2019,14.069127566475995
GUY,2020,11.774357877695547
GUY,2021,8.452483405851186
GUY,2022,5.025455042111887
GUY,2023,1.1468573962762296
GUY,2024,-6.471886224138496
HKG,2003,0.11874704363534382
HKG,2004,0.2474689066220833
HKG,2005,0.4639827525137957
HKG,2006,0.6401668709934467
HKG,2007,0.8007395821807972
